タイトル,累計売上(枚）
A・RA・SHI,"973,310"
SUNRISE日本／HORIZON,"405,680"
台風ジェネレーション -Typhoon Generation-,"361,100"
感謝カンゲキ雨嵐,"362,490"
君のために僕がいる,"323,020"
時代,"384,460"
a Day in Our Life,"378,050"
ナイスな心意気,"249,000"
PIKA☆NCHI,"187,527"
とまどいながら,"176,484"
ハダシの未来／言葉より大切なもの,"223,384"
PIKA★★NCHI DOUBLE,"139,968"
瞳の中のGalaxy／Hero,"256,569"
サクラ咲ケ,"174,331"
WISH,"309,064"
きっと大丈夫,"205,140"
アオゾラペダル,"190,883"
Love so sweet,"457,162"
We can make it!,"205,220"
Happiness,"292,586"
Step and Go,"375,548"
One Love,"564,403"
truth／風の向こうへ,"659,061"
Beautiful days,"472,674"
Believe／曇りのち、快晴,"662,801"
明日の記憶／Crazy Moon~キミ・ハ・ムテキ~,"622,011"
Everything,"432,609"
マイガール,"560,507"
Troublemaker,"701,686"
Monster,"707,197"
To be free,"519,781"
L?ve Rainbow,"627,523"
Dear Snow,"598,790"
果てない空,"693,869"
Lotus,"625,935"
迷宮ラブソング,"647,391"
ワイルド アット ハート,"650,102"
Face Down,"619,940"
Your Eyes,"559,412"
Calling／Breathless,"881,192"
Endless Game,"557,794"
Bittersweet,"591,847"
GUTS!,"609,353"
誰も知らない,"525,256"
Sakura,"521,067"
青空の下、キミのとなり,"572,007"
愛を叫べ,"530,498"
復活LOVE,"541,121"
I seek／Daylight,"829,463"
Power of the Paradise,"475,880"
I'll be there,"438,613"
つなぐ,"434,893"
Doors ~勇気の軌跡~,"641,093"
Find The Answer,"440,529"
夏疾風,"542,602"
君のうた,"428,748"
BRAVE,"713,159"
カイト,"1,165,156"
